Time,Forces,Platform Position
306596618.0,1.84,0.0
306597215.0,1.84,0.0
306597812.0,1.84,0.0
306598410.0,1.84,0.0
306599007.0,1.85,0.0
306599604.0,1.85,0.0
306600202.0,1.85,0.0
306600799.0,1.85,0.0
306601396.0,1.85,0.0
306601994.0,1.85,0.0
306602591.0,1.54,0.0
306603189.0,1.54,0.0
306603786.0,1.54,0.0
306604383.0,1.54,0.0
306604981.0,1.54,0.0
306605578.0,1.39,0.0
306606175.0,1.39,0.0
306606773.0,1.39,0.0
306607370.0,1.39,0.0
306607968.0,1.39,0.0
306608565.0,1.49,0.0
306609162.0,1.48,0.0
306609760.0,1.49,0.0
306610357.0,1.48,0.0
306610954.0,1.49,0.0
306611552.0,1.62,0.0
306612149.0,1.62,0.0
306612746.0,1.62,0.0
306613344.0,1.62,0.0
306613941.0,1.62,0.0
306614539.0,1.62,0.0
306615136.0,1.62,0.0
306615733.0,1.62,0.0
306616331.0,1.62,0.0
306616928.0,1.62,0.0
306617526.0,1.62,0.0
306618123.0,1.75,0.0
306618720.0,1.74,0.0
306619318.0,1.75,0.0
306619915.0,1.74,0.0
306620512.0,1.75,0.0
306621110.0,1.77,0.0
306621707.0,1.77,0.0
306622305.0,1.77,0.0
306622902.0,1.77,0.0
306623499.0,1.77,0.0
306624097.0,1.79,0.0
306624694.0,1.79,0.0
306625291.0,1.79,0.0
306625889.0,1.79,0.0
306626486.0,1.79,0.0
306627083.0,1.86,0.0
306627681.0,1.87,0.0
306628278.0,1.86,0.0
306628875.0,1.87,0.0
306629473.0,1.86,0.0
306630070.0,1.87,0.0
306630668.0,1.79,0.0
306631265.0,1.79,0.0
306631862.0,1.79,0.0
306632460.0,1.79,0.0
306633057.0,1.79,0.0
306633655.0,1.85,0.0
306634252.0,1.85,0.0
306634849.0,1.85,0.0
306635447.0,1.85,0.0
306636044.0,1.85,0.0
306636641.0,1.8,0.0
306637239.0,1.8,0.0
306637836.0,1.8,0.0
306638433.0,1.8,0.0
306639031.0,1.8,0.0
306639628.0,1.73,0.0
306640226.0,1.73,0.0
306640823.0,1.73,0.0
306641420.0,1.73,0.0
306642018.0,1.73,0.0
306642615.0,1.73,0.0
306643213.0,1.79,0.0
306643810.0,1.79,0.0
306644407.0,1.79,0.0
306645005.0,1.79,0.0
306645602.0,1.79,0.0
306646200.0,1.7,0.0
306646797.0,1.7,0.0
306647394.0,1.7,0.0
